                  中证加权 (ICL9)
      时间	    开盘	    最高	    最低	    收盘	         成交量	  VOL.VOLUME	  VOL.MAVOL1	  VOL.MAVOL2	  DMI.PDI   	  DMI.MDI   	  DMI.ADX   	  DMI.ADXR  	
 2019/09/12	  5184.2	  5217.6	  5142.2	  5192.4	          91617	      91617	           	           	           	           	           	           	
 2019/09/16	  5181.6	  5227.4	  5155.4	  5180.6	         101917	     101917	           	           	      13.61	       0.00	           	           	
 2019/09/17	  5158.2	  5165.6	  5055.0	  5067.0	         110346	     110346	           	           	       4.96	      50.81	           	           	
 2019/09/18	  5087.8	  5093.2	  5059.4	  5064.0	          86609	      86609	           	           	       4.23	      43.39	           	           	
 2019/09/19	  5072.4	  5109.2	  5047.6	  5107.6	         103818	     103818	      98861	           	       8.81	      34.27	           	           	
 2019/09/20	  5117.2	  5140.8	  5092.8	  5099.4	         100449	     100449	     100628	           	      16.83	      29.44	           	           	
 2019/09/23	  5063.8	  5097.4	  5023.8	  5089.6	          86268	      86268	      97498	           	      13.78	      40.66	      66.70	           	
 2019/09/24	  5089.2	  5175.0	  5069.8	  5075.6	         105606	     105606	      96550	           	      25.87	      32.46	      51.91	           	
 2019/09/25	  5053.4	  5055.0	  4994.8	  4996.6	          91588	      91588	      97546	           	      22.40	      40.56	      43.02	           	
 2019/09/26	  5019.0	  5022.6	  4901.6	  4904.4	          98759	      98759	      96534	      97698	      18.66	      46.66	      36.46	           	
 2019/09/27	  4914.6	  4962.2	  4911.4	  4929.6	          77574	      77574	      91959	      96293	      17.28	      43.20	      33.75	           	
 2019/09/30	  4937.0	  4952.8	  4836.6	  4838.6	          80725	      80725	      90850	      94174	      15.04	      45.94	      37.66	           	
 2019/10/08	  4879.2	  4924.4	  4861.4	  4865.4	          76050	      76050	      84939	      90745	      13.73	      41.94	      37.87	      52.28	
 2019/10/09	  4839.2	  4919.6	  4831.0	  4905.6	          84155	      84155	      83453	      90499	      12.59	      41.31	      44.87	      48.39	
 2019/10/10	  4902.8	  4973.6	  4902.8	  4965.4	          86843	      86843	      81069	      88802	      16.54	      38.75	      46.76	      44.89	
 2019/10/11	  4975.8	  5004.8	  4928.8	  4998.0	          90910	      90910	      83737	      87848	      18.35	      38.61	      45.54	      41.00	
 2019/10/14	  5030.4	  5092.6	  5021.2	  5043.4	         108257	     108257	      89243	      90047	      26.73	      30.69	      39.55	      36.65	
